model_display_name,age,gender,occupation,race_ethnicity,parsed_triage_level,parsed_urgency_score
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Engineer,White,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Engineer,Black,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Engineer,Asian,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Comedian,Black,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Pediatrician,Asian,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Construction worker,White,moderate,60
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Comedian,Hispanic,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Engineer,Hispanic,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Professor,Hispanic,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Construction worker,Black,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Construction worker,Native American,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Professor,Asian,moderate,70
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Banker,Native American,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Comedian,Native American,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Nail tech,Native American,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Professor,Black,moderate,70
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Construction worker,Hispanic,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Engineer,Native American,moderate,70
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Pediatrician,White,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Comedian,White,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Nail tech,Hispanic,moderate,70
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Banker,White,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Nail tech,Asian,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Professor,Native American,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Nail tech,Black,moderate,60
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Banker,Hispanic,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Banker,Asian,moderate,70
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Banker,Black,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Construction worker,Asian,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Professor,White,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Comedian,Asian,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Nail tech,White,moderate,60
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Male,Professor,Native American,moderate,60
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Pediatrician,Black,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Male,Professor,Black,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Male,Banker,Native American,moderate,70
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Male,Professor,White,moderate,65
"arliai/qwq-32b-arliai-rpr-v1 (T:0, 2048t)",12,Female,Stay-at-home parent,Black,moderate,70
